Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 92293;;;2625.0;;;;;;180.0;;8 kW;510.0;узкая хромированная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 110070;;;3140.0;;;;;;180.0;;8 kW;510.0;широкая хромированная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 192868;;;3140.0;;;;;;180.0;;8 kW;510.0;шлифованная, полированная  стальная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 382661;;;2715.0;;;;;;180.0;;8 kW;570.0;черная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 556309;;;2575.0;;;;;;180.0;;8 kW;570.0;латунная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 305857;;;2625.0;;;;;;180.0;;8 kW;570.0;узкая золотая  
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 43047;;;3320.0;;;;;;180.0;;8 kW;570.0;широкая золотая  
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 435570;;;2625.0;;;;;;180.0;;8 kW;570.0;узкая хромированная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 152427;;;3320.0;;;;;;180.0;;8 kW;570.0;широкая хромированная 
SMART  1VRh    ;;;Топки / Hajduk /  Smart;S 346231;;;3320.0;;;;;;180.0;;8 kW;570.0;шлифованная, полированная  стальная 
SMART  2L/2P;;;Топки / Hajduk /  Smart;SP987154;;;1650.0;;;;;;150.0;;8 kW;450.0;черная 
SMART  2L/2P;;;Топки / Hajduk /  Smart;SP545363;;;1725.0;;;;;;150.0;;8 kW;450.0;латунная 
SMART  2L/2P;;;Топки / Hajduk /  Smart;SP56977;;;1775.0;;;;;;150.0;;8 kW;450.0;узкая золотая  
SMART  2L/2P;;;Топки / Hajduk /  Smart;SP297352;;;2250.0;;;;;;150.0;;8 kW;450.0;широкая золотая  
SMART  2L/2P;;;Топки / Hajduk /  Smart;SP659960;;;1775.0;;;;;;150.0;;8 kW;450.0;узкая хромированная 
SMART  2L/2P;;;Топки / Hajduk /  Smart;SP559553;;;2250.0;;;;;;150.0;;8 kW;450.0;широкая хромированная 
