Заголовок;Содержимое;Описание;Категория;Артикул;Изображение;В наличии;Цена;Цена на распродаже;Начало распродажи;Время начала распродажи;Дата окончания распродажи;Время окончания распродажи;Масса;Размер;Мощность;Высота стекла;Рамка
SMART  1VRh    ;;;Серия Smart;S 683;;;3320.0;;;;;;180.0;;8 kW;570.0;широкая золотая  
SMART  1VRh    ;;;Серия Smart;S 607;;;2625.0;;;;;;180.0;;8 kW;570.0;узкая хромированная 
SMART  1VRh    ;;;Серия Smart;S 900;;;3320.0;;;;;;180.0;;8 kW;570.0;широкая хромированная 
SMART  1VRh    ;;;Серия Smart;S 113;;;3320.0;;;;;;180.0;;8 kW;570.0;шлифованная, полированная  стальная 
SMART  2L/2P;;;Серия Smart;S 365;;;1650.0;;;;;;150.0;;8 kW;450.0;черная 
SMART  2L/2P;;;Серия Smart;S 352;;;1725.0;;;;;;150.0;;8 kW;450.0;латунная 
SMART  2L/2P;;;Серия Smart;S 686;;;1775.0;;;;;;150.0;;8 kW;450.0;узкая золотая  
SMART  2L/2P;;;Серия Smart;S 588;;;2250.0;;;;;;150.0;;8 kW;450.0;широкая золотая  
SMART  2L/2P;;;Серия Smart;S 648;;;1775.0;;;;;;150.0;;8 kW;450.0;узкая хромированная 
SMART  2L/2P;;;Серия Smart;S 870;;;2250.0;;;;;;150.0;;8 kW;450.0;широкая хромированная 
SMART  2L/2P;;;Серия Smart;S 711;;;2250.0;;;;;;150.0;;8 kW;450.0;шлифованная, полированная  стальная 
SMART  2L/2P;;;Серия Smart;S 397;;;1810.0;;;;;;150.0;;8 kW;510.0;черная 
SMART  2L/2P;;;Серия Smart;SP539;;;1890.0;;;;;;150.0;;8 kW;510.0;латунная 
SMART  2L/2P;;;Серия Smart;SP695;;;1940.0;;;;;;150.0;;8 kW;510.0;узкая золотая  
SMART  2L/2P;;;Серия Smart;SP706;;;2420.0;;;;;;150.0;;8 kW;510.0;широкая золотая  
SMART  2L/2P;;;Серия Smart;SP820;;;1940.0;;;;;;150.0;;8 kW;510.0;узкая хромированная 
SMART  2L/2P;;;Серия Smart;SP311;;;2420.0;;;;;;150.0;;8 kW;510.0;широкая хромированная 
SMART  2L/2P;;;Серия Smart;SP624;;;2420.0;;;;;;150.0;;8 kW;510.0;шлифованная, полированная  стальная 
SMART  2L/2P;;;Серия Smart;SP364;;;1950.0;;;;;;150.0;;8 kW;570.0;черная 
SMART  2L/2P;;;Серия Smart;SP989;;;2025.0;;;;;;150.0;;8 kW;570.0;латунная 
SMART  2L/2P;;;Серия Smart;SP268;;;2075.0;;;;;;150.0;;8 kW;570.0;узкая золотая  
SMART  2L/2P;;;Серия Smart;SP926;;;2550.0;;;;;;150.0;;8 kW;570.0;широкая золотая  
SMART  2L/2P;;;Серия Smart;SP236;;;2075.0;;;;;;150.0;;8 kW;570.0;узкая хромированная 
SMART  2L/2P;;;Серия Smart;SP811;;;2550.0;;;;;;150.0;;8 kW;570.0;широкая хромированная 
SMART  2L/2P;;;Серия Smart;SP588;;;2550.0;;;;;;150.0;;8 kW;570.0;шлифованная, полированная  стальная 
SMART  2L h/2P h;;;Серия Smart;Sh189;;;2575.0;;;;;;170.0;;8 kW;450.0;черная 
SMART  2L h/2P h;;;Серия Smart;Sh250;;;2650.0;;;;;;170.0;;8 kW;450.0;латунная 
SMART  2L h/2P h;;;Серия Smart;Sh743;;;2710.0;;;;;;170.0;;8 kW;450.0;узкая золотая  
SMART  2L h/2P h;;;Серия Smart;Sh756;;;3175.0;;;;;;170.0;;8 kW;450.0;широкая золотая  
SMART  2L h/2P h;;;Серия Smart;Sh691;;;2710.0;;;;;;170.0;;8 kW;450.0;узкая хромированная 
SMART  2L h/2P h;;;Серия Smart;Sh119;;;3175.0;;;;;;170.0;;8 kW;450.0;широкая хромированная 
